"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","ID_RANK","DATABASE","DATABASE_ID","GENUS_TAXON","SUBFAMILY_TAXON","FAMILY_TAXON","SUPERFAMILY_TAXON","INFRAORDER_TAXON","SUBORDER_TAXON","ORDER_TAXON","SUPERORDER_TAXON","INFRACLASS_TAXON","SUBCLASS_TAXON","CLASS_TAXON","SUPERCLASS_TAXON","SUBPHYLUM_TAXON","PHYLUM_TAXON","KINGDOM_TAXON","GROUP_CODE"
22175,"Aptocyclus ventricosus","smooth lumpsucker","species","WORMS","254299","Aptocyclus","","Cyclopteridae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22175
22176,"Lethotremus muticus","docked snailfish","species","WORMS","254348","Lethotremus","","Cyclopteridae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22176
22177,"Eumicrotremus asperrimus","round lumpsucker","species","WORMS","254533","Eumicrotremus","","Cyclopteridae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22177
22178,"Eumicrotremus orbis","Pacific spiny lumpsucker","species","WORMS","254535","Eumicrotremus","","Cyclopteridae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22178
22179,"Eumicrotremus derjugini","leatherfin lumpsucker","species","WORMS","127215","Eumicrotremus","","Cyclopteridae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22179
22180,"Eumicrotremus gyrinops","Alaskan lumpsucker","species","WORMS","274492","Eumicrotremus","","Cyclopteridae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22180
22182,"Eumicrotremus andriashevi","pimpled lumpsucker","species","WORMS","254532","Eumicrotremus","","Cyclopteridae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22182
22183,"Eumicrotremus sp.","spiny lumpsuckers","genus","WORMS","126159","Eumicrotremus","","Cyclopteridae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22183
22184,"Eumicrotremus barbatus","papillose lumpsucker","species","WORMS","254534","Eumicrotremus","","Cyclopteridae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22184
22190,"Eumicrotremus phrynoides","toad lumpsucker","species","WORMS","254536","Eumicrotremus","","Cyclopteridae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22190
22200,"Liparidae","snailfish unid.","family","WORMS","234519","","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22200
22201,"Liparis sp.","","genus","WORMS","126160","Liparis","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22201
22202,"Liparis fucensis","slipskin snailfish","species","WORMS","274515","Liparis","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22201
22203,"Liparis bristolensis","Bristol snailfish","species","WORMS","254546","Liparis","","Liparidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22201
